Route,Number,Street,Zip,Date,BinStatus
RE13H02,11103,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11105,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11113,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11117,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11123,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11303,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11305,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11307,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11315,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11319,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11403,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11407,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11409,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11413,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11421,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11425,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11429,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,13609,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13611,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13613,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13621,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13623,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13633,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13635,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13641,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13703,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13705,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13709,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13711,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13713,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13717,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13723,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13727,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13731,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13739,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13743,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13742,Valley Oak Cir,20850,3/8/2018,N
RE13H02,11405,Cromwood Lane,20850,3/8/2018,N
RE13H02,11409,Cromwood Lane,20850,3/8/2018,N
RE13H02,11411,Cromwood Lane,20850,3/8/2018,N
RE13H02,13608,Valley Oak Cir,20850,3/8/2018,N
RE13H02,13604,Valley Oak Cir,20850,3/8/2018,N
RE13H02,11408,Potomac Oaks Drive,20850,3/8/2018,N
RE13H02,11316,Potomac Oaks Drive,20850,3/8/2018,N
